Shazam Library
Index,TagTime,Title,Artist,URL,TrackKey
1,2020-08-21,"Baby, I Love Your Way","Big Mountain",https://www.shazam.com/pl/track/520750/baby-i-love-your-way,520750
2,2020-08-19,"Weekend","LIZOT",https://www.shazam.com/pl/track/510097299/weekend,510097299
3,2020-08-15,"Sandmann","le Shuuk",https://www.shazam.com/pl/track/505296315/sandmann,505296315
4,2020-08-15,"Powiedz mi (kto w tych oczach mieszka)","Gromee Feat. Ania Dąbrowska & Abradab",https://www.shazam.com/pl/track/528268902/powiedz-mi-kto-w-tych-oczach-mieszka,528268902
5,2020-08-15,"BUBBLETEA","Quebonafide & Duit Feat. Daria Zawiałow",https://www.shazam.com/pl/track/511781500/bubbletea,511781500
6,2020-08-05,"Love Is A Sandstorm (Explicit)","DJ Crazy J Rodriguez",https://www.shazam.com/pl/track/116226503/love-is-a-sandstorm-explicit,116226503
7,2020-08-03,"Leave A Light On","Belinda Carlisle",https://www.shazam.com/pl/track/263237/leave-a-light-on,263237
8,2020-07-17,"Down Under","Men At Work",https://www.shazam.com/pl/track/5229584/down-under,5229584
9,2020-07-09,"Leave A Light On","Belinda Carlisle",https://www.shazam.com/pl/track/263237/leave-a-light-on,263237
10,2020-06-26,"Lonely","Joel Corry",https://www.shazam.com/pl/track/505297285/lonely,505297285
11,2020-06-15,"Run Away (Klaas Original Mix)","Shaun Baker Feat. Jessica Jean",https://www.shazam.com/pl/track/506736309/run-away-klaas-original-mix,506736309
12,2020-05-26,"Summer (R3hab & Ummet Ozcan Remix)","Calvin Harris",https://www.shazam.com/pl/track/130500458/summer-r3hab-and-ummet-ozcan-remix,130500458
13,2020-05-25,"Scatman","Da Tweekaz",https://www.shazam.com/pl/track/478368366/scatman,478368366
14,2020-05-25,"Scatman","Da Tweekaz",https://www.shazam.com/pl/track/478368366/scatman,478368366
15,2020-04-29,"Stars","VIZE Feat. Laniia",https://www.shazam.com/pl/track/463874642/stars,463874642
16,2020-03-30,"Frequency 75","DJ Snake",https://www.shazam.com/pl/track/476820978/frequency-75,476820978
17,2020-03-11,"bad guy","Billie Eilish",https://www.shazam.com/pl/track/462599767/bad-guy,462599767
18,2020-03-11,"Wonderland","C-BooL",https://www.shazam.com/pl/track/409596518/wonderland,409596518
19,2020-03-11,"Talizman","Kamil Bednarek",https://www.shazam.com/pl/track/339588236/talizman,339588236
20,2020-03-09,"In Your Eyes","Robin Schulz Feat. Alida",https://www.shazam.com/pl/track/506003940/in-your-eyes,506003940
21,2020-03-06,"Hello World","Belle Perez",https://www.shazam.com/pl/track/416356/hello-world,416356
22,2020-03-03,"Señorita","Shawn Mendes & Camila Cabello",https://www.shazam.com/pl/track/470226745/señorita,470226745
23,2020-02-21,"Don't Go","Yazoo",https://www.shazam.com/pl/track/312509/dont-go,312509
24,2019-11-30,"Cold","Anatoly Boardman",https://www.shazam.com/pl/track/492554067/cold,492554067
25,2019-11-26,"Con Calma (Salsa Remix)","Salsa Mix",https://www.shazam.com/pl/track/462265822/con-calma-salsa-remix,462265822
26,2019-11-25,"Dance Monkey","Tones And I",https://www.shazam.com/pl/track/466040067/dance-monkey,466040067
